method,replicate,n,p,density,top_k,candidate_count,candidate_recall,edge_overlap_vs_sparcc,sign_accuracy_vs_truth,auroc_vs_truth,recall_at_K_vs_truth,wallclock_seconds,peak_bytes,fallback_reason,calibration_method
spieceasi_glasso,2,100,500,0.02,25,124750,1.0,0.2977893368010403,0.6641282565130261,0.7177440595476667,0.17835671342685372,39.42696654199972,10886640,,
falcon_sr_strict,2,100,500,0.02,25,124750,1.0,0.9983980776932319,0.92625250501002,0.7631364319576128,0.21282565130260522,0.09333341599995038,16015368,,
falcon_sr_fast,2,100,500,0.02,25,13672,0.4725450901803607,0.9983980776932319,0.9974554707379135,0.6946217362130093,0.21282565130260522,0.06877125000028173,10809840,,
falcon_sr_fast_calibrated,2,100,500,0.02,25,13672,0.4725450901803607,0.9983980776932319,0.9974554707379135,0.6946217362130093,0.21282565130260522,0.9924630000004981,16516432,,permutation_base_only
sparcc_py,0,100,500,0.02,50,124750,1.0,1.0,0.917434869739479,0.7509196594489539,0.18396793587174348,0.002843333000782877,9345912,,
pearson_clr,0,100,500,0.02,50,124750,1.0,0.9637937819756002,0.9150300601202405,0.7506953115260827,0.18476953907815633,0.002313417000550544,2805048,,
pearson_raw,0,100,500,0.02,50,124750,1.0,0.07081545064377683,0.8821643286573146,0.6620636864912189,0.09659318637274548,0.002050458000667277,3205984,,
spieceasi_mb,0,100,500,0.02,50,124750,1.0,0.36600054749520944,0.349498997995992,0.6448593362751023,0.18557114228456914,1.6616046670005744,7130808,,
spieceasi_glasso,0,100,500,0.02,50,124750,1.0,0.30083420229405633,0.6452905811623246,0.706325336452628,0.16993987975951905,30.9463541669993,10885924,,
falcon_sr_strict,0,100,500,0.02,50,124750,1.0,0.9983980776932319,0.9170340681362725,0.7508952058138607,0.18396793587174348,0.05372949999946286,16015416,,
falcon_sr_fast,0,100,500,0.02,50,26637,0.5915831663326653,0.9983980776932319,0.9898373983739838,0.7178472342828883,0.18396793587174348,0.08489604199894529,12131143,,
falcon_sr_fast_calibrated,0,100,500,0.02,50,26637,0.5915831663326653,0.9983980776932319,0.9898373983739838,0.7178472342828883,0.18396793587174348,0.8494478749998962,17194556,,permutation_base_only
sparcc_py,1,100,500,0.02,50,124750,1.0,1.0,0.9106212424849699,0.7452548153851362,0.1963927855711423,0.00518216599994048,9345800,,
pearson_clr,1,100,500,0.02,50,124750,1.0,0.9576304433111024,0.9102204408817636,0.7449718692220644,0.19559118236472947,0.0033838340004876954,2804944,,
pearson_raw,1,100,500,0.02,50,124750,1.0,0.06510138740661686,0.8857715430861723,0.6635908404269174,0.09218436873747494,0.002117707999786944,3205904,,
spieceasi_mb,1,100,500,0.02,50,124750,1.0,0.36824787496572525,0.36392785571142283,0.6521138370971218,0.19198396793587175,1.7115311659999861,7130568,,
spieceasi_glasso,1,100,500,0.02,50,124750,1.0,0.2910737386804657,0.6476953907815631,0.7079747159445061,0.17314629258517034,31.898998082999242,10885782,,
falcon_sr_strict,1,100,500,0.02,50,124750,1.0,0.9975980784627703,0.9110220440881763,0.7452311420108222,0.1963927855711423,0.14349258299989742,16015368,,
falcon_sr_fast,1,100,500,0.02,50,26590,0.5935871743486973,0.9975980784627703,0.9912221471978393,0.7203957004024818,0.1963927855711423,0.08865116699962527,12130583,,
falcon_sr_fast_calibrated,1,100,500,0.02,50,26590,0.5935871743486973,0.9975980784627703,0.9912221471978393,0.7203957004024818,0.1963927855711423,0.9302440829997067,17191183,,permutation_base_only
sparcc_py,2,100,500,0.02,50,124750,1.0,1.0,0.92625250501002,0.7631705503354671,0.21282565130260522,0.0024562919988966314,9345800,,
pearson_clr,2,100,500,0.02,50,124750,1.0,0.9622493118364137,0.9258517034068137,0.7632263652084341,0.21282565130260522,0.0019219999994675163,2804944,,
pearson_raw,2,100,500,0.02,50,124750,1.0,0.06989708404802744,0.8829659318637274,0.6622552175636701,0.10821643286573146,0.0012047090003761696,3205904,,
spieceasi_mb,2,100,500,0.02,50,124750,1.0,0.37655172413793103,0.374749498997996,0.6584387112944141,0.1975951903807615,1.0768077080010698,7130568,,
spieceasi_glasso,2,100,500,0.02,50,124750,1.0,0.2977893368010403,0.6641282565130261,0.7177440595476667,0.17835671342685372,39.53750608300106,10886581,,
falcon_sr_strict,2,100,500,0.02,50,124750,1.0,0.9983980776932319,0.92625250501002,0.7631364319576128,0.21282565130260522,0.12033908299963514,16015368,,
falcon_sr_fast,2,100,500,0.02,50,26570,0.6128256513026052,0.9983980776932319,0.9921517331589274,0.7311800977112706,0.21282565130260522,0.11587108300045657,12130837,,
falcon_sr_fast_calibrated,2,100,500,0.02,50,26570,0.6128256513026052,0.9983980776932319,0.9921517331589274,0.7311800977112706,0.21282565130260522,1.3901871670004766,17189258,,permutation_base_only
sparcc_py,0,100,1000,0.02,10,463203,1.0,1.0,0.7359465862588843,0.5804293885129629,0.04576782252853758,0.015348499999163323,32144400,,
pearson_clr,0,100,1000,0.02,10,463203,1.0,0.9816474605207,0.7354081412879604,0.5802803077115294,0.04490631057505923,0.011980584000411909,8968600,,
pearson_raw,0,100,1000,0.02,10,463203,1.0,0.17358609794628752,0.7358388972646995,0.5588182882217244,0.04092181779022184,0.010230666999632376,9739888,,
spieceasi_mb,0,100,1000,0.02,10,463203,1.0,0.1948787235411439,0.07678225285375835,0.5265185419213717,0.06676717639457247,6.534972457999174,25083920,,
spieceasi_glasso,0,100,1000,0.02,10,463203,1.0,0.005576912664464779,0.0,0.5,0.01723023906956709,14.87107108300006,38742980,,
falcon_sr_strict,0,100,1000,0.02,10,463203,1.0,0.9976336452619124,0.7358388972646995,0.5804325537011271,0.04576782252853758,0.41143962500063935,59378144,,
falcon_sr_fast,0,100,1000,0.02,10,13283,0.07344389403402972,0.6866769594042321,0.9530791788856305,0.5227520750029612,0.04813698040060306,0.14663054099946748,38652888,,
falcon_sr_fast_calibrated,0,100,1000,0.02,10,13283,0.07344389403402972,0.6866769594042321,0.9530791788856305,0.5227520750029612,0.04813698040060306,3.057204000000638,55962411,,permutation_base_only
sparcc_py,1,100,1000,0.02,10,479710,1.0,1.0,0.7319415448851775,0.58130124315546,0.0488517745302714,0.018336290999286575,33242120,,
pearson_clr,1,100,1000,0.02,10,479710,1.0,0.9803617571059432,0.7318371607515658,0.5811091692889814,0.048538622129436326,0.013885874999687076,9259984,,
pearson_raw,1,100,1000,0.02,10,479710,1.0,0.1830811979005866,0.7342379958246347,0.5644452615980113,0.04488517745302714,0.011014416999387322,10044944,,
spieceasi_mb,1,100,1000,0.02,10,479710,1.0,0.22490730085666794,0.07463465553235908,0.5250892781532865,0.06231732776617954,6.513730000000578,25670677,,
spieceasi_glasso,1,100,1000,0.02,10,479710,1.0,0.011295260213237623,0.0,0.5,0.01826722338204593,13.39060658299968,40084571,,
falcon_sr_strict,1,100,1000,0.02,10,479710,1.0,1.0,0.7319415448851775,0.5812942087221733,0.0488517745302714,0.29769983400001365,61492488,,
falcon_sr_fast,1,100,1000,0.02,10,13239,0.07609603340292276,0.7136213218853412,0.9492455418381345,0.5246994951247661,0.055427974947807934,0.10180816699903517,40001520,,
falcon_sr_fast_calibrated,1,100,1000,0.02,10,13239,0.07609603340292276,0.7136213218853412,0.9492455418381345,0.5246994951247661,0.055427974947807934,1.881325292000838,57867117,,permutation_base_only
sparcc_py,2,100,1000,0.02,10,494515,1.0,1.0,0.7447885043513459,0.5808697667315116,0.04766241651487553,0.01881475000118371,34226480,,
pearson_clr,2,100,1000,0.02,10,494515,1.0,0.9827447833065811,0.7442825339000202,0.5808041179338224,0.047460028334345275,0.013616333999380004,9521104,,
pearson_raw,2,100,1000,0.02,10,494515,1.0,0.1523526324995627,0.7491398502327464,0.5607615080416222,0.043513458814005264,0.00661158399998385,10318064,,
spieceasi_mb,2,100,1000,0.02,10,494515,1.0,0.24317524216882627,0.07974094312892127,0.5275291104433699,0.06446063549888686,2.2347390839986474,26435073,,
spieceasi_glasso,2,100,1000,0.02,10,494515,1.0,0.18838313991942757,0.2718073264521352,0.5556460585896696,0.0581866019024489,102.00858958299978,41303299,,
falcon_sr_strict,2,100,1000,0.02,10,494515,1.0,0.9993930197268589,0.7447885043513459,0.5808693455705917,0.04766241651487553,0.171354041000086,63388848,,
falcon_sr_fast,2,100,1000,0.02,10,13478,0.07508601497672536,0.7113169971426098,0.9487870619946092,0.5243465544983631,0.05343047965998786,0.11062149999997928,41211720,,
falcon_sr_fast_calibrated,2,100,1000,0.02,10,13478,0.07508601497672536,0.7113169971426098,0.9487870619946092,0.5243465544983631,0.05343047965998786,1.8621569169990835,59591503,,permutation_base_only
sparcc_py,0,100,1000,0.02,25,463203,1.0,1.0,0.7359465862588843,0.5804293885129629,0.04576782252853758,0.011257875001319917,32144032,,
pearson_clr,0,100,1000,0.02,25,463203,1.0,0.9816474605207,0.7354081412879604,0.5802803077115294,0.04490631057505923,0.003945958998883725,8968552,,
pearson_raw,0,100,1000,0.02,25,463203,1.0,0.17358609794628752,0.7358388972646995,0.5588182882217244,0.04092181779022184,0.0025405839987797663,9739888,,
spieceasi_mb,0,100,1000,0.02,25,463203,1.0,0.1948787235411439,0.07678225285375835,0.5265185419213717,0.06676717639457247,1.8916281670008175,24820662,,
spieceasi_glasso,0,100,1000,0.02,25,463203,1.0,0.005576912664464779,0.0,0.5,0.01723023906956709,5.8772499580009026,38740420,,
falcon_sr_strict,0,100,1000,0.02,25,463203,1.0,0.9976336452619124,0.7358388972646995,0.5804325537011271,0.04576782252853758,0.10740470800010371,59378144,,
falcon_sr_fast,0,100,1000,0.02,25,30381,0.13698040060305836,0.9586585108626872,0.9261006289308176,0.5364909917193273,0.04587551152272238,0.059183416999076144,38652888,,
